año,token,freq
1990,aislados,1
1990,cada,1
1990,cualquiera,1
1990,grupúsculos,1
1990,ninguna,1
1990,perpetran,1
1990,quedando,1
1990,razón,1
1990,signovan,1
1991,avance,1
1991,conjunto,1
1991,gradual,1
1991,llegaremos,1
1991,meta,1
1991,objetivos,1
1991,procurará,1
1991,progresos,1
1991,trabajando,1
1991,vecesretrocesos,1
1992,actividades,1
1992,ajeno,1
1992,asumió,1
1992,chilenoscomprobar,1
1992,concibe,1
1992,confío,1
1992,consejo,1
1992,criterios,1
1992,desarrollo,1
1992,encima,1
1992,enteramente,1
1992,funciones,1
1992,inspirado,1
1992,jurídicopolíticas,1
1992,metas,1
1992,nacionales,2
1992,normal,1
1992,política,1
1992,problema,1
1992,reconciliación,1
1992,reconocido,1
1992,seguridad,1
1992,tendencias,1
1992,órgano,1
1993,actividad,1
1993,actualidadproyectos,1
1993,adquirir,1
1993,afrontar,1
1993,agropecuaria,1
1993,ahora,1
1993,apoyo,1
1993,aprobado,1
1993,asimismo,1
1993,aunque,1
1993,autogestionados,1
1993,autoridades,1
1993,avión,1
1993,cessna,1
1993,científicotécnico,1
1993,ciudadana,1
1993,clase,1
1993,cometidas,1
1993,comunidades,1
1993,condenas,1
1993,congreso,1
1993,contratar,1
1993,cuyo,1
1993,cámara,1
1993,cívicomilitares,1
1993,derechos,1
1993,deuda,1
1993,diputados,1
1993,equipamiento,1
1993,esenciales,1
1993,estudio,1
1993,funcionarios,1
1993,general,1
1993,gestión,1
1993,gubernativa,1
1993,gubernativo,1
1993,históricos,1
1993,honorable,1
1993,humanos,1
1993,importante,1
1993,incierto,1
1993,motivado,1
1993,negadas,1
1993,negociaciones,1
1993,nuevos,1
1993,organizaciones,1
1993,pago,1
1993,pendiente,1
1993,perjuicio,1
1993,personas,1
1993,policial,1
1993,problemas,1
1993,prorroga,1
1993,proyecto,1
1993,realizan,1
1993,reiteradas,1
1993,relaciones,1
1993,requiere,1
1993,resultado,1
1993,régimen,1
1993,seguridad,1
1993,seleccionaron,1
1993,social,1
1993,transparencia,1
1993,vehículos,1
1993,vinculadas,1
1993,violaciones,1
1993,último,1
1994,asumirá,1
1994,aunque,1
1994,conductor,1
1994,corresponde,1
1994,críticas,1
1994,defensa,1
1994,elección,1
1994,electoral,1
1994,ello,1
1994,escuchan,1
1994,muchas,1
1994,municipal,1
1994,opuestossobre,1
1994,orden,1
1994,políticoestratégico,1
1994,pondrá,1
1994,potenciará,1
1994,rol,1
1994,signos,1
1994,sistema,1
1996,01lles,1
1996,"1,6",1
1996,1.150,1
1996,1.200,1
1996,1.400,1
1996,1.500,1
1996,10.500,1
1996,100.000,1
1996,108.000,1
1996,11aciónprofundameme,1
1996,11n,1
1996,11uestros,1
1996,12.000,1
1996,130.000,1
1996,"14,3",1
1996,14.000,1
1996,15.076,1
1996,18.000,1
1996,18.450,1
1996,18.525,1
1996,19.065,1
1996,19.303,1
1996,19.325,1
1996,19.327,1
1996,19.329,1
1996,19.366,1
1996,19.413,1
1996,19.449,1
1996,1995a,1
1996,1996este,1
1996,1cidade,1
1996,1do,1
1996,1ició,1
1996,1iios.en,1
1996,1programas,1
1996,2.000,1
1996,2.500,1
1996,2.700,2
1996,20.000,1
1996,23.500,1
1996,"24,5",1
1996,240.000,1
1996,28.000,1
1996,3.000,2
1996,3.100,1
1996,30.000,1
1996,"38,2",1
1996,"4,9",1
1996,40.000,1
1996,41.500,1
1996,430.000,1
1996,480.000,1
1996,4oe,1
1996,4uc,1
1996,4ue,1
1996,5.500,1
1996,5.560,1
1996,5.900,1
1996,500.000,2
1996,6.700,1
1996,7.500,1
1996,70.000,2
1996,"8,2",1
1996,"8,5",1
1996,"8,6",1
1996,8.200,1
1996,8.5,1
1996,8.900,1
1996,"9,2",1
1996,"9,6",1
1996,9.000,1
1996,9.600,1
1996,a11l1dosde,1
1996,abajo,1
1996,abandonemos,1
1996,abascecimiemo,1
1996,abasrecimienro,1
1996,abastecer,2
1996,abierta,1
1996,abiertamente,1
1996,abiertos,1
1996,abordaba,1
1996,abordado,1
1996,abordar,1
1996,abra,1
1996,abre,1
1996,abrieron,2
1996,abril,5
1996,abrir,1
1996,abrirles,1
1996,abrirá,1
1996,abriéndoles,1
1996,abrió,1
1996,abrumadora,1
1996,abundante,1
1996,acaca,1
1996,académica,1
1996,académicos,1
1996,accedan,1
1996,acceden,1
1996,acceder,3
1996,accederán,1
1996,accedí,1
1996,accesibles,1
1996,acceso,16
1996,accicudes,1
1996,accidentes,1
1996,accionar,1
1996,acciones,3
1996,accionistas,1
1996,acción,10
1996,accoen,1
1996,acctso,1
1996,accual,5
1996,accualidad,1
1996,accualmence,1
1996,acelerado,1
1996,acelerar,2
1996,acenciones,1
1996,acender,2
1996,acentúa,1
1996,aceptar,1
1996,acerca,4
1996,acercar,1
1996,ación,3
1996,acoger,1
1996,acogida,1
1996,acojan,1
1996,acompañar,1
1996,aconseja,1
1996,acorada,1
1996,acorde,1
1996,acordes,1
1996,acoso,1
1996,acostumbrarnos,1
1996,acribuirnos,1
1996,acrirud,1
1996,acrividades,1
1996,acrualización,1
1996,acrualmenre,1
1996,activa,1
1996,activamente,2
1996,actividad,1
1996,actividades,4
1996,actor,2
1996,actores,2
1996,actos,2
1996,actuales,1
1996,actúe,1
1996,acudan,1
1996,acuerdo,6
1996,acuerdos,3
1996,acumulada,1
1996,acwando,1
1996,acóón,1
1996,adaptación,1
1996,adecuación,1
1996,adecuada,1
1996,adecuadas,1
1996,adecuados,2
1996,adecuar,2
1996,adecuándola,1
1996,adel,1
1996,adelance,1
1996,además,9
1996,adicción,1
1996,adicional,1
1996,adicionales,1
1996,adicionalmenrc,1
1996,adicionalmente,2
1996,adjudicación,2
1996,adminiscración,1
1996,administración,10
1996,administradoras,1
1996,administrativos,1
1996,adopción,1
1996,adoptado,2
1996,adoptar,1
1996,adoptaremos,1
1996,adoptaron,1
1996,adquisición,1
1996,adquisitivo,2
1996,aduleo,2
1996,adultos,1
1996,adverso,1
1996,aeronavcgac,1
1996,aeroporcuarios,1
1996,aeroporruario,1
1996,aeroportuaria,1
1996,aeropuerco,1
1996,aeropuercos,1
1996,aeropuerros,1
1996,aeropuerto,2
1996,aeropuertos,1
1996,afectan,1
1996,afecto,1
1996,afirmado,1
1996,afirmar,2
1996,afp,1
1996,afronrar,1
1996,afáu,1
1996,agdcolas,1
1996,agenda,2
1996,agentes,1
1996,agilizando,1
1996,agoscode,1
1996,agraria,2
1996,agregados,1
1996,agregar,1
1996,agregará,1
1996,agricuhorcs,1
1996,agriculcura,1
1996,agricultura,9
1996,agro,1
1996,agropecuaria,1
1996,agropecuarias,3
1996,agropecuario,2
1996,agrícola,2
1996,agrícolas,2
1996,agua,4
1996,aguas,3
1996,aha,1
1996,ahora,1
1996,ahorco,1
1996,ahorro,4
1996,ahí,1
1996,ai:cea,1
1996,airo,1
1996,aislamiento,1
1996,aiíos,1
1996,ajenos,1
1996,ajo,1
1996,ajustes,1
1996,akancarillado,1
1996,albergar,1
1996,alca,2
1996,alcalde,1
1996,alcaldes,1
1996,alcamarillado,1
1996,alcances,2
1996,alcanzando,2
1996,alcanzaron,1
1996,alcanzó,1
1996,alcura,1
1996,alejar,1
1996,aleo,2
1996,alimenta,1
1996,allá,1
1996,alma,2
1996,alrc,1
1996,alrededor,7
1996,alrnnces,1
1996,alros,2
1996,alteran,1
1996,alternaliva,1
1996,alternativa,2
1996,alto,1
1996,altos,1
1996,altura,2
1996,alumnos,9
1996,alzado,1
1996,amargui,1
1996,amargura,1
1996,ambas,3
1996,ambience,1
1996,ambiental,1
1996,ambientalmente,1
1996,ambiente,3
1996,ambos,2
1996,amino,1
1996,aminos,1
1996,amistad,2
1996,amoempleo,1
1996,amonio,1
1996,ampl,1
1996,amplia,1
1996,ampliación,5
1996,ampliado,5
1996,ampliamente,2
1996,ampliando,2
1996,ampliar,3
1996,ampliaremos,1
1996,ampliará,2
1996,ampliarán,1
1996,amplias,2
1996,amplilu,1
1996,amplio,2
1996,amplios,1
1996,américa,5
1996,ancho,1
1996,ancianas,1
1996,ancianos,1
1996,ancimonopólicos,1
1996,anclados,1
1996,anclo,1
1996,anee,5
1996,anhelos,1
1996,anima,1
1996,animal,1
1996,anrofagasrn,1
1996,anterior,2
1996,anteriormente,1
1996,antiguos,1
1996,antonio,1
1996,anual,6
1996,anuales,1
1996,anunciada,1
1996,anuncio,2
1996,anuncié,2
1996,anzar,1
1996,apanajas,1
1996,aparejados,1
1996,aparradas,1
1996,apego,1
1996,aplicado,1
1996,aplicando,1
1996,aplicar,1
1996,aporcando,1
1996,aporcar,1
1996,aporcará,1
1996,aporrado,1
1996,aporre,1
1996,apoyando,1
1996,apoyar,8
1996,apoyaremos,2
1996,apoyará,1
1996,apoyo,10
1996,aprecio,1
1996,aprender,1
1996,aprendizajes,1
1996,apresurados,1
1996,aprobacicín,1
1996,aprobación,5
1996,aprobadas,2
1996,aprobado,1
1996,aprovechados,1
1996,aprovechamiento,1
1996,aprovechar,1
1996,aproximada,1
1996,aproximadamente,1
1996,aproximado,1
1996,apuntan,1
1996,aquel,1
1996,aquellos,2
1996,aquéllas,1
1996,aquéllos,1
1996,aquí,1
1996,aracena,1
1996,arajiseiíar,1
1996,arbirral,1
1996,arcesanal,2
1996,arciculaclos,1
1996,arenas,1
1996,argencina,1
1996,argentina,3
1996,arica,1
1996,armonizar,1
1996,armónico,1
1996,arn,1
1996,arraigados,1
1996,arrapados,1
1996,arrasadas,1
1996,arrastran,1
1996,arrnque,1
1996,arrás,1
1996,artesanal,1
1996,artesanales,1
1996,arturo,1
1996,aráen,1
1996,asalariados,1
1996,ascendió,1
1996,asegurada,1
1996,asegurando,2
1996,asegurar,2
1996,asegurarán,1
1996,asia,3
1996,asignación,3
1996,asignado,1
1996,asignados,1
1996,asignaron,2
1996,asignaturas,1
1996,asigno,1
1996,asimilara,1
1996,asimismo,4
1996,asiscenciales,1
1996,asistencia,9
1996,asociación,1
1996,asociado,1
1996,asociarnos,1
1996,asociativas,1
1996,asociativos,1
1996,aspectos,1
1996,aspecws,1
1996,aspicamos,1
1996,aspiramos,1
1996,aspirar,2
1996,astanu,1
1996,asumamos,1
1996,asuman,2
1996,asumidos,1
1996,asumir,2
1996,asumo,1
1996,atenci611,1
1996,atención,14
1996,atendidos,1
1996,atiende,1
1996,atlántica,1
1996,atlántico,1
1996,atraer,1
1996,atraque,1
1996,atraviesa,1
1996,atrevo,1
1996,atribuciones,2
1996,atrás,5
1996,aucocomplacencia,1
